date,o3_avg,o3_max,o3_min,pm10_avg,pm10_max,pm10_min,pm25_avg,pm25_max,pm25_min,uvi_avg,uvi_max,uvi_min,city,station_latitude,station_longitude,dominant_pollutant,current_overall_aqi,hour,day,month,day_of_week,is_weekend,aqi_lag_1,aqi_change_rate,aqi_rolling_mean_3,aqi_target,ingested_at
2025-02-16,4.0,30.0,1.0,54,58,44,150,159,103,1.0,4.0,0.0,lahore,31.560078,74.33589,pm25,34,0,16,2,6,1,,,150.0,151.0,2026-07-20 14:55:50.811093+00:00
2025-02-17,4.0,35.0,1.0,56,72,46,151,165,138,1.0,4.0,0.0,lahore,31.560078,74.33589,pm25,34,0,17,2,0,0,150.0,0.6666666666666667,150.5,134.0,2026-07-20 14:55:50.811093+00:00
2025-02-18,5.0,41.0,1.0,47,58,28,134,159,81,1.0,4.0,0.0,lahore,31.560078,74.33589,pm25,34,0,18,2,1,0,151.0,-11.258278145695364,145.0,125.0,2026-07-20 14:55:50.811093+00:00
2025-02-19,4.0,41.0,1.0,51,58,46,125,142,89,1.0,3.0,0.0,lahore,31.560078,74.33589,pm25,34,0,19,2,2,0,134.0,-6.7164179104477615,136.66666666666666,150.0,2026-07-20 14:55:50.811093+00:00
2025-02-20,7.0,18.0,1.0,70,123,57,150,159,138,0.0,1.0,0.0,lahore,31.560078,74.33589,pm25,34,0,20,2,3,0,125.0,20.0,136.33333333333334,152.0,2026-07-20 14:55:50.811093+00:00
2025-02-21,4.0,39.0,1.0,66,77,49,152,169,138,1.0,5.0,0.0,lahore,31.560078,74.33589,pm25,34,0,21,2,4,0,150.0,1.3333333333333335,142.33333333333334,136.0,2026-07-20 14:55:50.811093+00:00
2025-02-22,1.0,8.0,1.0,56,73,46,136,159,89,1.0,5.0,0.0,lahore,31.560078,74.33589,pm25,34,0,22,2,5,1,152.0,-10.526315789473683,146.0,148.0,2026-07-20 14:55:50.811093+00:00
2025-02-23,,,,59,73,46,148,160,133,0.0,0.0,0.0,lahore,31.560078,74.33589,pm25,34,0,23,2,6,1,136.0,8.823529411764707,145.33333333333334,168.0,2026-07-20 14:55:50.811093+00:00
